slug,left,top,right,bottom,face_top_frac,face_centre_frac,face_bottom_frac,clamped
ibrahim-sangare,1041,223,2058,1495,0.1502,0.2752,0.4002,False
ibrahima-konate,1542,0,2374,1040,0.0904,0.2154,0.3404,True
igor,705,60,1957,1624,0.1503,0.2753,0.4003,False
igor-zubeldia,1708,180,2739,1468,0.1498,0.2748,0.3998,False
ilkay-gundogan,1198,10,2238,1310,0.15,0.275,0.4,False
inaki-williams,1101,0,3422,2902,0.1334,0.2643,0.3952,True
inigo-ruiz-de-galarreta,1710,590,3041,2254,0.1502,0.2752,0.4002,False
isco,1759,120,3323,2076,0.1498,0.2748,0.3998,False
ismael-bennacer,1302,0,3350,2560,0.0988,0.2238,0.3488,True
ivan-ilic,1505,199,2218,1091,0.1502,0.2752,0.4002,False
ivan-provedel,721,544,1946,2076,0.3029,0.4279,0.5529,True
ivan-toney,1308,0,3036,2160,0.3481,0.4845,0.6208,True
jack-grealish,1136,222,2490,1914,0.1501,0.2751,0.4001,False
jacob-ramsey,222,0,2410,2736,0.1444,0.2694,0.3944,True
jamal-musiala,965,0,2536,1964,0.1466,0.2716,0.3966,True
james-maddison,1339,0,3067,2159,0.1357,0.3073,0.4789,True
james-tarkowski,1006,0,2733,2159,0.2344,0.3953,0.5563,True
james-ward-prowse,1164,0,2915,2189,0.1891,0.3458,0.5025,True
jan-oblak,842,0,2411,1962,0.1549,0.4167,0.6784,True
jan-paul-van-hecke,1720,144,2610,1256,0.1502,0.2752,0.4002,False
jarrod-bowen,951,0,2708,2196,0.1079,0.255,0.4021,True
jason-steele,996,0,2724,2160,0.112,0.2407,0.3694,True
javi-galan,1358,28,2312,1220,0.1502,0.2752,0.4002,False
javi-guerra,429,66,2177,2250,0.1804,0.3054,0.4304,True
jeremie-boga,956,253,1766,1265,0.1502,0.2752,0.4002,False
jeremie-frimpong,916,0,3046,2662,0.1593,0.2859,0.4125,True
jeremy-doku,1415,6,2819,1762,0.1498,0.2748,0.3998,False
jesper-karlsson,0,19,2045,2575,0.1498,0.2748,0.3998,True
joachim-andersen,404,128,2973,3340,0.1501,0.2751,0.4001,False
