Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price,Win Rate
Ivan Toney,150.0,9088,0.0454,22346390.85,6.71e-06,0.3072
Fabian Schär,148.0,10041,0.0502,22233343.29,6.66e-06,0.3062
Gianluca Mancini,147.0,10023,0.0501,22154444.78,6.64e-06,0.3062
Benoît Badiashile,147.0,9995,0.05,22136068.03,6.64e-06,0.3059
Benjamin Henrichs,145.0,17750,0.0887,21709239.44,6.68e-06,0.3057
Ezri Konsa,147.0,10094,0.0505,22079948.48,6.66e-06,0.305
Lewis Ferguson,146.0,7708,0.0385,22289180.07,6.55e-06,0.3045
Marc Cucurella,145.0,14043,0.0702,22036815.5,6.58e-06,0.3044
Lorenzo Pellegrini,147.0,7715,0.0386,22356707.71,6.58e-06,0.304
Kaoru Mitoma,149.0,6503,0.0325,22379363.37,6.66e-06,0.3039
Marten de Roon,146.0,5878,0.0294,22154304.19,6.59e-06,0.3038
Jeremie Frimpong,146.0,14517,0.0726,21513742.51,6.79e-06,0.3034
Oihan Sancet,148.0,4758,0.0238,22173602.35,6.67e-06,0.3026
Loïs Openda,148.0,9056,0.0453,22300574.2,6.64e-06,0.3023
David Neres,149.0,11023,0.0551,22463031.84,6.63e-06,0.3022
Joachim Andersen,147.0,10007,0.05,22306985.11,6.59e-06,0.302
Youri Tielemans,147.0,7721,0.0386,22430125.63,6.55e-06,0.3015
Xavi Simons,148.0,4755,0.0238,22331861.2,6.63e-06,0.3012
Giorgi Mamardashvili,148.0,15531,0.0777,21092331.47,7.02e-06,0.3008
Hidemasa Morita,146.0,5915,0.0296,22333727.81,6.54e-06,0.2999
Nico Schlotterbeck,145.0,14479,0.0724,22039022.03,6.58e-06,0.2999
Reinildo,146.0,14411,0.0721,22195753.24,6.58e-06,0.2978
Alfonso Pedraza,144.0,12756,0.0638,22035120.73,6.54e-06,0.2977
Lutsharel Geertruida,146.0,17581,0.0879,21800978.33,6.7e-06,0.2975
Lucas Vázquez,146.0,17355,0.0868,21749063.67,6.71e-06,0.2969
Emile Smith Rowe,148.0,11312,0.0566,22480463.22,6.58e-06,0.2968
Anthony Gordon,148.0,13359,0.0668,22207350.85,6.66e-06,0.2963
Tyrone Mings,145.0,14437,0.0722,22099120.32,6.56e-06,0.2961
Jonathan Clauss,145.0,14684,0.0734,21806728.41,6.65e-06,0.2952
Joshua Zirkzee,147.0,8928,0.0446,22449932.8,6.55e-06,0.2948
Eddie Nketiah,148.0,13447,0.0672,22349371.61,6.62e-06,0.2942
Carlos Soler,148.0,10930,0.0546,22548215.92,6.56e-06,0.2941
Jordan Henderson,145.0,5841,0.0292,22403526.79,6.47e-06,0.294
Fábio Vieira,148.0,11317,0.0566,22608023.33,6.55e-06,0.2935
Charles De Ketelaere,147.0,10103,0.0505,22274868.85,6.6e-06,0.2934
Harry Maguire,145.0,9913,0.0496,22381115.71,6.48e-06,0.2932
Ebere Eze,148.0,7778,0.0389,22181794.81,6.67e-06,0.2931
Martin Terrier,147.0,13526,0.0676,22443220.46,6.55e-06,0.2928
Federico Gatti,146.0,9934,0.0497,22369941.61,6.53e-06,0.2923
Christian Nørgaard,144.0,5838,0.0292,22082048.65,6.52e-06,0.2919
Jan Paul van Hecke,147.0,10149,0.0507,22264361.02,6.6e-06,0.2918
Mario Hermoso,144.0,14323,0.0716,21871465.48,6.58e-06,0.2914
David Raum,143.0,10753,0.0538,22025388.26,6.49e-06,0.2914
Geoffrey Kondogbia,145.0,5878,0.0294,22348247.7,6.49e-06,0.2913
Juan Foyth,145.0,17762,0.0888,21700202.68,6.68e-06,0.2905
Igor,144.0,14412,0.0721,22152997.5,6.5e-06,0.29
Weston McKennie,146.0,66120,0.3306,15930535.39,9.16e-06,0.29
Diogo Dalot,144.0,17893,0.0895,21703515.34,6.63e-06,0.29
Harvey Elliott,147.0,10856,0.0543,22463061.9,6.54e-06,0.2898
Nemanja Matic,144.0,5938,0.0297,22644998.32,6.36e-06,0.2897
Nicolas Jackson,147.0,13571,0.0679,22437919.09,6.55e-06,0.2891
Youssouf Fofana,143.0,5819,0.0291,22475854.96,6.36e-06,0.2889
Arthur,144.0,5709,0.0285,22304606.76,6.46e-06,0.2883
Nick Pope,147.0,15508,0.0775,21128901.21,6.96e-06,0.2859
Ibrahim Sangaré,145.0,5778,0.0289,22072343.37,6.57e-06,0.2857
Andriy Lunin,146.0,15665,0.0783,21055346.31,6.93e-06,0.2857
Giorgio Scalvini,145.0,10039,0.0502,21975993.62,6.6e-06,0.2856
Julian Ryerson,143.0,18042,0.0902,21639784.95,6.61e-06,0.2852
Reiss Nelson,147.0,11171,0.0559,22287709.25,6.6e-06,0.2849
Albert Guðmundsson,147.0,13343,0.0667,22156711.38,6.63e-06,0.2847
Andrea Cambiaso,143.0,17824,0.0891,21609795.78,6.62e-06,0.2846
Marcão,144.0,10244,0.0512,22568625.54,6.38e-06,0.2836
Billy Gilmour,143.0,5822,0.0291,22270182.07,6.42e-06,0.2834
Yangel Herrera,143.0,5936,0.0297,22155828.84,6.45e-06,0.2834
Matteo Ruggeri,142.0,10883,0.0544,22148580.35,6.41e-06,0.2829
Aleix García,143.0,5750,0.0288,22514086.96,6.35e-06,0.2826
Breel Embolo,146.0,13116,0.0656,22395166.21,6.52e-06,0.2825
Rico Lewis,144.0,15625,0.0781,21887360.0,6.58e-06,0.2823
Cheick Doucouré,144.0,5833,0.0292,22293845.36,6.46e-06,0.2818
Malick Thiaw,144.0,10260,0.0513,22310038.99,6.45e-06,0.2814
Marcos Alonso,143.0,14458,0.0723,21940102.37,6.52e-06,0.2812
Ellyes Skhiri,143.0,5919,0.0296,22202061.16,6.44e-06,0.2811
Mathías Olivera,142.0,10581,0.0529,21959644.65,6.47e-06,0.2811
Bernd Leno,145.0,15267,0.0763,20978908.76,6.91e-06,0.2804
Amadou Haïdara,143.0,5815,0.0291,22530868.44,6.35e-06,0.2803
Evanilson,146.0,9121,0.0456,22457296.35,6.5e-06,0.2801
Kevin Kampl,144.0,5815,0.0291,22370249.36,6.44e-06,0.28
Javi Galán,142.0,10807,0.054,21967243.45,6.46e-06,0.2798
Ramy Bensebaïni,143.0,14390,0.072,21768867.27,6.57e-06,0.2796
Khephren Thuram,143.0,5724,0.0286,22010831.59,6.5e-06,0.2794
Adam Maruic,142.0,17905,0.0895,21487629.15,6.61e-06,0.2787
Robin Gosens,142.0,11012,0.0551,22425354.16,6.33e-06,0.2783
Ollie Watkins,146.0,13365,0.0668,22105274.97,6.6e-06,0.2778
Myles Lewis-Skelly,141.0,12572,0.0629,22018692.33,6.4e-06,0.2777
Danny Welbeck,146.0,13195,0.066,22359151.19,6.53e-06,0.2775
Arkadiusz Milik,145.0,9026,0.0451,22302237.98,6.5e-06,0.2774
Ander Barrenetxea,145.0,10959,0.0548,22455607.26,6.46e-06,0.2773
Cristiano Biraghi,141.0,10785,0.0539,22036439.5,6.4e-06,0.2771
Lukas Klostermann,143.0,19430,0.0972,21675038.6,6.6e-06,0.2766
Lucas Digne,141.0,10911,0.0546,22345247.91,6.31e-06,0.2766
Eric García,144.0,9976,0.0499,22538893.34,6.39e-06,0.2765
Nikola Milenkovic,144.0,10039,0.0502,22137463.89,6.5e-06,0.2758
