Name,Nation,Age,Club,Position,League
Albert Guðmundsson,Iceland,29,Fiorentina,"AMF, RW, LW, ST",Serie A
Casemiro,Brazil,34,Inter Miami,CDM,MLS
Pedri,Spain,23,Barcelona,"AMF, RW, LW",First Division
Aaron Hickey,Scotland,24,Brentford,"RB, LB",Premier Division
Riyad Mahrez,Algeria,35,Free Agent,"RW, LW",-
Ryan Gravenberch,Netherlands,24,Liverpool,"CDM, AMF",Premier Division
Thomas Lemar,France,30,Atletico Madrid,"LB, AMF, LW",First Division
David De Gea,Spain,35,Fiorentina,GK,Serie A
Rico Henry,England,29,Brentford,LB,Premier Division
Martin Terrier,France,29,Bayer Leverkusen,"AMF, RW, LW, ST",Bundesliga
Luke Shaw,England,30,Manchester United,"CB, LB",Premier Division
Nemanja Matic,Serbia,37,Sassuolo,CDM,Serie A
Andrea Cambiaso,Italy,26,Juventus,"RB, LB, RM, LM",Serie A
David Neres,Brazil,29,Napoli,"RW, LW",Serie A
