Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price
Danny Welbeck,146.0,6603,0.066,22121005.6,6.6e-06
Douglas Luiz,149.0,2831,0.0283,22120452.14,6.74e-06
Ezri Konsa,147.0,5018,0.0502,22119968.11,6.65e-06
Fredrik Aursnes,151.0,2848,0.0285,22116924.16,6.83e-06
Lazar Samardic,144.0,2371,0.0237,22114297.76,6.51e-06
Sead Kolainac,142.0,7147,0.0715,22102840.35,6.42e-06
Leonardo Spinazzola,142.0,5279,0.0528,22102481.53,6.42e-06
Christopher Nkunku,162.0,6888,0.0689,22101916.38,7.33e-06
Enes Ünal,140.0,4538,0.0454,22100705.16,6.33e-06
Yuri,140.0,5437,0.0544,22098951.63,6.34e-06
Axel Disasi,148.0,5084,0.0508,22098741.15,6.7e-06
Álex Grimaldo,154.0,5423,0.0542,22093306.29,6.97e-06
Marcelo Brozovic,155.0,2927,0.0293,22092927.91,7.02e-06
Bernardo Silva,178.0,5531,0.0553,22092388.36,8.06e-06
Albert Guðmundsson,147.0,6646,0.0665,22088775.2,6.65e-06
Matthijs de Ligt,159.0,5044,0.0504,22081086.44,7.2e-06
Riyad Mahrez,155.0,5545,0.0554,22079711.45,7.02e-06
Ivan Ilic,140.0,3933,0.0393,22075514.87,6.34e-06
Geoffrey Kondogbia,145.0,2917,0.0292,22074391.5,6.57e-06
Cody Gakpo,153.0,6714,0.0671,22070151.92,6.93e-06
Fabian Schär,148.0,5065,0.0507,22069891.41,6.71e-06
Henrikh Mkhitaryan,156.0,3876,0.0388,22069659.44,7.07e-06
Anthony Gordon,148.0,6701,0.067,22069243.4,6.71e-06
Darwin Núñez,156.0,5495,0.0549,22064058.23,7.07e-06
Kaoru Mitoma,149.0,3222,0.0322,22063625.08,6.75e-06
Oihan Sancet,148.0,2378,0.0238,22060975.61,6.71e-06
Nico Williams,149.0,5522,0.0552,22060485.33,6.75e-06
Eljif Elmas,142.0,3959,0.0396,22060368.78,6.44e-06
Robin Le Normand,149.0,4870,0.0487,22059342.92,6.75e-06
Callum Hudson-Odoi,140.0,5697,0.057,22058627.35,6.35e-06
Nordi Mukiele,142.0,8637,0.0864,22055922.2,6.44e-06
Marcos Llorente,152.0,9254,0.0925,22055543.55,6.89e-06
Tammy Abraham,143.0,4536,0.0454,22054673.72,6.48e-06
Giorgio Scalvini,145.0,4976,0.0498,22052049.84,6.58e-06
Aurélien Tchouameni,157.0,2927,0.0293,22051247.01,7.12e-06
Dominic Solanke,141.0,4426,0.0443,22046543.15,6.4e-06
Ander Barrenetxea,145.0,5456,0.0546,22044721.41,6.58e-06
Lautaro Martínez,173.0,4698,0.047,22041294.17,7.85e-06
Paulo Dybala,155.0,6602,0.066,22040290.82,7.03e-06
Emre Can,147.0,5800,0.058,22036724.14,6.67e-06
